Feature,Importance
minmax__required_car_parking_spaces,0.107003905
imputeEncoding__0_7,0.09649069
binary__market_segment_2,0.07690797
minmax__previous_cancellations,0.07021371
minmax__total_of_special_requests,0.04997689
onehot__customer_type_Transient-Party,0.044002526
onehot__customer_type_Transient,0.04003926
fillnaEncoding__0_6,0.039761744
binary__market_segment_1,0.035293993
imputeEncoding__0_6,0.032673158
binary__market_segment_3,0.025904652
fillnaEncoding__0_4,0.023033567
robScaler__lead_time,0.021454569
standard__booking_changes,0.02070069
fillnaEncoding__0_5,0.020081414
imputeEncoding__0_5,0.01873766
minmax__previous_bookings_not_canceled,0.014564567
imputeEncoding__0_3,0.013970981
minmax__arrival_date_year,0.013911347
imputeEncoding__0_4,0.013893909
fillnaEncoding__0_1,0.013634574
fillnaEncoding__0_3,0.012594207
onehot__distribution_channel_TA/TO,0.011094482
fillnaEncoding__1_8,0.01054093
onehot__meal_Undefined,0.009726594
onehot__distribution_channel_Direct,0.009462279
fillnaEncoding__1_7,0.008568462
robScaler__days_in_waiting_list,0.0069849687
imputeEncoding__0_2,0.0068766046
onehot__meal_HB,0.006873822
fillnaEncoding__0_2,0.006098388
onehot__hotel_Resort Hotel,0.005959824
remainder__is_repeated_guest,0.00557075
robScaler__adults,0.0054932837
binary__reserved_room_type_1,0.005370638
binary__arrival_date_month_1,0.0052224244
fillnaEncoding__0_8,0.0051440373
onehot__meal_FB,0.0050043482
fillnaEncoding__1_0,0.0048938575
robScaler__adr,0.004611587
minmax__arrival_date_week_number,0.004360468
minmax__stays_in_week_nights,0.0039973306
minmax__stays_in_weekend_nights,0.0038904047
fillnaEncoding__0_7,0.003780999
fillnaEncoding__0_0,0.0037342482
onehot__meal_SC,0.0036448722
binary__arrival_date_month_3,0.003332294
fillnaEncoding__1_1,0.003180364
minmax__arrival_date_day_of_month,0.0030295118
minmax__babies,0.0030008967
onehot__distribution_channel_GDS,0.002919036
imputeScaling__children,0.002813239
fillnaEncoding__1_4,0.0027711885
binary__arrival_date_month_0,0.002719113
binary__arrival_date_month_2,0.0025029744
imputeEncoding__0_1,0.0023973142
binary__reserved_room_type_3,0.0023916683
fillnaEncoding__1_6,0.002380282
binary__reserved_room_type_2,0.002306864
binary__reserved_room_type_0,0.0022936214
imputeEncoding__0_0,0.0022273997
fillnaEncoding__1_5,0.0021805374
fillnaEncoding__1_3,0.0021018256
fillnaEncoding__1_2,0.0020186151
onehot__customer_type_Group,0.0012820387
onehot__distribution_channel_Undefined,0.00039962665
binary__market_segment_0,0.0
